LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
27m         Warning   ErrImageNeverPull              pod/frontend-69c5bb6dfc-zk6sm           Container image "hangyin/frontend:local" is not present with pull policy of Never
26m         Normal    Pulled                         pod/video-service-7c84f598bd-6cm7z      Successfully pulled image "hangyin/video-service:local" in 2.666s (2m53.24s including waiting). Image size: 161171554 bytes.
26m         Normal    Started                        pod/video-service-7c84f598bd-6cm7z      Started container video-service
26m         Normal    Created                        pod/video-service-7c84f598bd-6cm7z      Created container: video-service
26m         Normal    Pulled                         pod/live-service-7d5bd6ff4-qrvhw        Successfully pulled image "hangyin/live-service:local" in 1.709s (2m54.802s including waiting). Image size: 142597385 bytes.
26m         Normal    Pulled                         pod/frontend-69c5bb6dfc-zk6sm           Container image "hangyin/frontend:local" already present on machine
26m         Normal    Killing                        pod/frontend-6ff5f7cdf8-n5v4n           Stopping container frontend
26m         Normal    SuccessfulDelete               replicaset/frontend-6ff5f7cdf8          Deleted pod: frontend-6ff5f7cdf8-n5v4n
26m         Normal    ScalingReplicaSet              deployment/frontend                     Scaled down replica set frontend-6ff5f7cdf8 from 1 to 0
26m         Normal    Started                        pod/frontend-69c5bb6dfc-zk6sm           Started container frontend
26m         Normal    Created                        pod/frontend-69c5bb6dfc-zk6sm           Created container: frontend
26m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/video-service   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
26m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/live-service    invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
26m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/user-service    invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
26m         Warning   Unhealthy                      pod/video-service-7c84f598bd-6cm7z      Startup probe failed: Get "http://10.244.0.18:8082/actuator/health": dial tcp 10.244.0.18:8082: connect: connection refused
26m         Warning   Unhealthy                      pod/live-service-7d5bd6ff4-qrvhw        Startup probe failed: Get "http://10.244.0.19:8090/actuator/health": dial tcp 10.244.0.19:8090: connect: connection refused
26m         Normal    BackOff                        pod/video-mysql-85b8875554-g2xrz        Back-off pulling image "mysql:8.0"
26m         Warning   Failed                         pod/video-mysql-85b8875554-g2xrz        Error: ImagePullBackOff
25m         Normal    Pulling                        pod/video-mysql-85b8875554-g2xrz        Pulling image "mysql:8.0"
25m         Warning   Failed                         pod/video-service-579d57d976-bt46z      Error: ImagePullBackOff
25m         Normal    BackOff                        pod/video-service-579d57d976-bt46z      Back-off pulling image "hangyin/video-service:0.1.0"
25m         Normal    Killing                        pod/user-service-7b9964f67b-dwszf       Container user-service failed liveness probe, will be restarted
25m         Normal    Started                        pod/user-service-7b9964f67b-dwszf       Started container user-service
25m         Normal    Pulling                        pod/video-service-579d57d976-bt46z      Pulling image "hangyin/video-service:0.1.0"
25m         Normal    Pulled                         pod/user-service-7b9964f67b-dwszf       Container image "hangyin/user-service:local" already present on machine
25m         Normal    Created                        pod/user-service-7b9964f67b-dwszf       Created container: user-service
25m         Normal    Killing                        pod/user-service-7b9964f67b-dwszf       Stopping container user-service
25m         Normal    SuccessfulCreate               replicaset/video-mysql-7c56cd74c8       Created pod: video-mysql-7c56cd74c8-bqhsq
25m         Normal    SuccessfulCreate               replicaset/user-service-7b9964f67b      Created pod: user-service-7b9964f67b-pl4rn
25m         Normal    Created                        pod/video-mysql-7c56cd74c8-bqhsq        Created container: mysql
25m         Normal    Pulled                         pod/video-mysql-7c56cd74c8-bqhsq        Container image "mysql:8.4" already present on machine
25m         Normal    ScalingReplicaSet              deployment/video-mysql                  Scaled up replica set video-mysql-7c56cd74c8 from 0 to 1
25m         Normal    Started                        pod/video-mysql-7c56cd74c8-bqhsq        Started container mysql
25m         Normal    Killing                        pod/frontend-69c5bb6dfc-zk6sm           Stopping container frontend
25m         Normal    SuccessfulCreate               replicaset/frontend-69c5bb6dfc          Created pod: frontend-69c5bb6dfc-2zswn
25m         Normal    Started                        pod/frontend-69c5bb6dfc-2zswn           Started container frontend
25m         Normal    Created                        pod/frontend-69c5bb6dfc-2zswn           Created container: frontend
25m         Normal    Pulled                         pod/frontend-69c5bb6dfc-2zswn           Container image "hangyin/frontend:local" already present on machine
25m         Warning   Unhealthy                      pod/video-service-7c84f598bd-6cm7z      Startup probe failed: HTTP probe failed with statuscode: 503
25m         Normal    ScalingReplicaSet              deployment/video-mysql                  Scaled down replica set video-mysql-85b8875554 from 1 to 0
25m         Normal    SuccessfulDelete               replicaset/video-mysql-85b8875554       Deleted pod: video-mysql-85b8875554-g2xrz
25m         Normal    SuccessfulDelete               replicaset/video-service-579d57d976     Deleted pod: video-service-579d57d976-bt46z
25m         Normal    ScalingReplicaSet              deployment/video-service                Scaled down replica set video-service-579d57d976 from 1 to 0
25m         Warning   Failed                         pod/video-mysql-85b8875554-g2xrz        Error: ErrImagePull
25m         Warning   Failed                         pod/video-mysql-85b8875554-g2xrz        Failed to pull image "mysql:8.0": failed to pull and unpack image "docker.io/library/mysql:8.0": failed to resolve reference "docker.io/library/mysql:8.0": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/mysql/manifests/8.0?ns=docker.io: 500 Internal Server Error
24m         Warning   Failed                         pod/video-service-579d57d976-bt46z      Error: ErrImagePull
24m         Warning   Failed                         pod/video-service-579d57d976-bt46z      Failed to pull image "hangyin/video-service:0.1.0": failed to pull and unpack image "docker.io/hangyin/video-service:0.1.0": failed to resolve reference "docker.io/hangyin/video-service:0.1.0": unexpected status from HEAD request to http://registry-mirror:1273/v2/hangyin/video-service/manifests/0.1.0?ns=docker.io: 500 Internal Server Error
24m         Warning   Unhealthy                      pod/live-service-7d5bd6ff4-qrvhw        Startup probe failed: HTTP probe failed with statuscode: 503
24m         Normal    Created                        pod/live-service-7d5bd6ff4-qrvhw        Created container: live-service
24m         Normal    Pulled                         pod/live-service-7d5bd6ff4-qrvhw        Container image "hangyin/live-service:local" already present on machine
24m         Normal    Killing                        pod/live-service-7d5bd6ff4-qrvhw        Container live-service failed startup probe, will be restarted
24m         Normal    Started                        pod/live-service-7d5bd6ff4-qrvhw        Started container live-service
